Day,DailySum_irradiance_kWh
1,0.000674833333333333
2,0.00253933333333333
3,0.00448283333333333
4,0.00502933333333334
5,0.00589533333333333
6,0.007383
7,0.00860933333333333
8,0.00942616666666666
9,0.0112031666666667
10,0.012129
11,0.0134113333333333
12,0.0145366666666667
13,0.015901
14,0.01641675
15,0.0182549166666667
16,0.0184469166666667
17,0.0191388333333333
18,0.0208251666666667
19,0.0234265833333333
20,0.024238
21,0.0243665833333333
22,0.0243965
23,0.0240438333333333
24,0.0240641666666666
25,0.02478125
26,0.0249884166666667
27,0.0249468333333333
28,0.0261164166666667
29,0.0263769166666667
30,0.0267386666666667
31,0.02704925
32,0.0274526666666667
33,0.0281384166666667
34,0.0288918333333333
35,0.0289095833333333
36,0.0288321666666667
37,0.0293234166666667
38,0.0309883333333334
39,0.0306891666666667
40,0.0301945833333333
41,0.0297866666666667
42,0.0295800833333333
43,0.0284243333333333
44,0.0279138333333333
45,0.0265259166666667
46,0.0266613333333333
47,0.0269605833333333
48,0.0265294166666667
49,0.0269945833333333
50,0.02706
51,0.0268675833333333
52,0.0258818333333333
53,0.025291
54,0.0257165833333333
55,0.02613
56,0.02615825
57,0.0255741666666666
58,0.02645575
59,0.0274383333333333
60,0.0268910833333333
61,0.0272286666666667
62,0.0271741666666667
63,0.0267905833333333
64,0.0264034166666667
65,0.0262018333333333
66,0.0256168333333333
67,0.025634
68,0.0250230833333333
69,0.02460375
70,0.0256146666666667
71,0.0254215833333333
72,0.0246986666666666
73,0.0247136666666666
74,0.0257668333333333
75,0.0265638333333333
76,0.026807
77,0.02685675
78,0.026767
79,0.02724675
80,0.02719575
81,0.0278215
82,0.0280055
83,0.0283030833333333
84,0.0301315
85,0.0311253333333333
86,0.0330864166666667
87,0.0354231666666667
88,0.03641025
89,0.0381915833333334
90,0.0438311666666667
91,0.0488578333333334
92,0.0555849166666667
93,0.0628975
94,0.0705844166666667
95,0.0807317500000001
96,0.0900476666666667
97,0.100932416666667
98,0.110057333333333
99,0.122254833333333
100,0.137108416666667
101,0.158826833333333
102,0.189787166666667
103,0.213559666666667
104,0.237299333333333
105,0.278400416666667
106,0.322375833333333
107,0.366703666666666
108,0.40910575
109,0.45880925
110,0.503360083333333
111,0.537152916666666
112,0.581149833333333
113,0.646466083333332
114,0.709532749999999
115,0.764532916666666
116,0.833728833333333
117,0.89855275
118,0.951822750000001
119,1.01082775
120,1.089664
121,1.18768991666667
122,1.29441908333333
123,1.38806466666667
124,1.52237566666667
125,1.61411525
126,1.71797316666667
127,1.8259445
128,1.93901166666667
129,2.01300083333334
130,2.10663233333334
131,2.17300575
132,2.33045125
133,2.44237158333334
134,2.4988735
135,2.593634
136,2.77299866666667
137,2.92122833333333
138,3.05851716666667
139,3.20198733333333
140,3.3452015
141,3.4896915
142,3.63874716666667
143,3.78940791666667
144,3.93432049999999
145,4.11280033333334
146,4.22353683333333
147,4.38403033333333
148,4.5500685
149,4.55481808333333
150,4.62009766666667
151,4.81835625000001
152,4.97076683333334
153,5.07985041666667
154,5.26738466666667
155,5.34212058333333
156,5.4895335
157,5.69772116666666
158,5.78183733333333
159,5.84791291666667
160,5.8745735
161,5.9471605
162,6.14716058333333
163,6.33647008333334
164,6.40950566666667
165,6.48570733333333
166,6.46800808333334
167,6.737917
168,6.78486675000001
169,6.93843741666667
170,7.15664566666667
171,7.24952766666667
172,7.261915
173,7.49842316666667
174,7.49157666666667
175,7.55397458333333
176,7.64821116666666
177,7.71602216666667
178,7.67053958333335
179,7.67299533333333
180,7.69951524999999
181,7.7744105
182,7.86295508333333
183,7.94914683333334
184,8.04517825
185,8.11790766666666
186,8.27707433333334
187,8.211827
188,8.36513266666666
189,8.42903558333333
190,8.42090358333333
191,8.24912666666667
192,8.49246783333333
193,8.2735055
194,8.42369133333333
195,8.37577366666666
196,8.65363900000001
197,8.60416816666667
198,8.59326516666668
199,8.63882533333333
200,8.72410050000001
201,8.64901150000001
202,8.712027
203,8.7360735
204,8.62212933333333
205,8.58615666666668
206,8.58928108333333
207,8.541612
208,8.33205075
209,8.14564583333333
210,8.24562466666666
211,8.22026499999999
212,8.56693525
213,8.57927349999999
214,8.482485
215,8.31315141666667
216,8.18116391666667
217,8.11690025
218,8.45250491666666
219,8.47897925000001
220,8.40348325000001
221,8.24157725
222,8.26389516666666
223,8.18258316666668
224,7.84708333333334
225,7.81238400000001
226,7.59661866666667
227,7.46033341666666
228,7.67587458333334
229,7.341368
230,7.36107266666667
231,7.58228899999999
232,7.67165025
233,7.51064591666667
234,7.40879375
235,7.31775266666667
236,7.10379000000001
237,6.66224966666666
238,6.80051975
239,6.85042291666667
240,6.63350441666666
241,6.40235883333332
242,6.36033433333334
243,6.25709758333333
244,6.18343116666667
245,6.24684541666667
246,6.1230435
247,5.96443883333333
248,5.92454116666667
249,5.80299833333333
250,5.81802058333334
251,5.79086725
252,5.644657
253,5.57706916666666
254,5.49098816666667
255,5.19785016666666
256,4.97594991666667
257,4.86580091666667
258,4.94661050000001
259,4.84653916666668
260,4.73393175000001
261,4.63258633333334
262,4.36935808333334
263,4.210358
264,4.1527685
265,4.08546883333334
266,3.97982583333333
267,3.91224616666667
268,3.77206800000001
269,3.66708800000001
270,3.47397783333334
271,3.3257595
272,3.24763183333334
273,3.13397058333333
274,3.10365191666667
275,3.02529916666666
276,3.03253916666667
277,2.93778191666667
278,2.828322
279,2.69814066666667
280,2.6322
281,2.5590805
282,2.44007775
283,2.34484375
284,2.18670475
285,2.09062958333333
286,1.94976183333333
287,1.8961995
288,1.84000725
289,1.78289175
290,1.708977
291,1.63470116666667
292,1.52918325
293,1.41057116666667
294,1.33913825
295,1.30249841666667
296,1.24907633333333
297,1.16140941666667
298,1.1024565
299,1.04394958333333
300,0.949231166666667
301,0.797582666666667
302,0.662021416666666
303,0.555707083333333
304,0.491276833333333
305,0.47505075
306,0.45672925
307,0.440781
308,0.416368083333334
309,0.39370125
310,0.370167916666667
311,0.341709166666667
312,0.312664666666667
313,0.288807833333333
314,0.261975083333333
315,0.236401416666667
316,0.211965666666667
317,0.194065083333333
318,0.17819775
319,0.165420833333333
320,0.155715916666667
321,0.139493
322,0.12501925
323,0.114594916666667
324,0.101132083333333
325,0.0897880833333333
326,0.0800984166666666
327,0.0716159166666667
328,0.06030875
329,0.0516521666666667
330,0.0469469166666667
331,0.0399258333333333
332,0.03314925
333,0.0293105
334,0.0272719166666666
335,0.0252270833333333
336,0.02274075
337,0.0202465833333333
338,0.0199355
339,0.0206171666666667
340,0.020196
341,0.0203516666666667
342,0.0204493333333333
343,0.02074325
344,0.0204063333333333
345,0.0202495833333333
346,0.0194188333333333
347,0.019238
348,0.0188471666666667
349,0.01750625
350,0.01581475
351,0.0153521666666667
352,0.0145704166666667
353,0.014699
354,0.0131220833333333
355,0.01169625
356,0.010218
357,0.00963674999999999
358,0.00892541666666666
359,0.00754133333333333
360,0.006888
361,0.0061445
362,0.0051265
363,0.00472416666666667
364,0.00355666666666667
365,0.00280716666666667
366,0.00168533333333333
